game_date,predictions,unique_pitchers,graded,avg_prediction,avg_actual,days_since_last
2024-08-07,61,29,27,5.055245901639341,4.819672131147541,1.0
2024-08-08,31,16,11,4.6651612903225805,4.161290322580645,1.0
2024-08-09,51,26,19,4.838627450980392,5.705882352941176,1.0
2024-08-10,59,29,28,5.051186440677968,5.627118644067796,1.0
2024-08-11,44,23,30,4.932045454545455,4.5227272727272725,1.0
2024-08-12,37,19,26,5.629729729729729,6.135135135135135,1.0
2024-08-13,53,27,28,4.579433962264149,5.0,1.0
2024-08-14,46,24,17,4.658913043478259,4.673913043478261,1.0
2024-08-15,12,12,6,5.67,5.083333333333333,1.0
2024-08-16,26,26,13,4.973076923076923,5.115384615384616,1.0
2024-08-17,28,28,16,4.9728571428571415,5.285714285714286,1.0
2024-08-18,26,26,8,4.931538461538462,5.153846153846154,1.0
2024-08-19,17,17,6,4.811176470588236,5.764705882352941,1.0
2024-08-20,28,28,9,5.107142857142856,5.178571428571429,1.0
2024-08-21,27,27,13,4.687777777777778,5.1111111111111125,1.0
2024-08-22,17,17,9,5.259411764705882,5.76470588235294,1.0
2024-08-23,28,28,11,4.67892857142857,4.392857142857142,1.0
2024-08-24,27,27,12,5.148518518518518,5.37037037037037,1.0
2024-08-25,24,24,10,4.831666666666668,4.583333333333334,1.0
2024-08-26,19,18,10,5.168947368421052,4.526315789473685,1.0
2024-08-27,25,24,10,4.9620000000000015,4.800000000000001,1.0
2024-08-28,25,25,10,4.908399999999999,5.839999999999999,1.0
2024-08-29,20,20,11,4.5785,4.8,1.0
2024-08-30,29,27,13,4.753103448275862,5.0,1.0
2024-08-31,28,28,16,5.2325,5.392857142857142,1.0
2024-09-01,24,24,18,4.829583333333334,5.000000000000001,1.0
2024-09-02,20,20,8,5.145499999999999,4.35,1.0
2024-09-03,22,22,9,5.136363636363638,7.136363636363637,1.0
2024-09-04,25,25,7,4.5756,5.3199999999999985,1.0
2024-09-05,16,16,7,4.95875,5.4375,1.0
2024-09-06,24,24,9,5.19,6.083333333333335,1.0
2024-09-07,27,25,17,5.037777777777777,4.851851851851852,1.0
2024-09-08,23,23,9,4.994782608695653,5.130434782608695,1.0
2024-09-09,19,15,5,5.123684210526316,5.7894736842105265,1.0
2024-09-10,25,25,9,5.066399999999999,5.12,1.0
2024-09-11,28,28,22,5.011071428571428,5.071428571428571,1.0
2024-09-12,13,13,6,5.504615384615384,5.692307692307692,1.0
2024-09-13,24,24,15,5.048749999999999,5.625,1.0
2024-09-14,27,27,11,4.90925925925926,4.481481481481481,1.0
2024-09-15,26,26,13,4.953461538461538,4.653846153846154,1.0
2024-09-16,16,16,9,5.003125,5.6875,1.0
2024-09-17,28,28,15,4.954285714285715,4.8928571428571415,1.0
2024-09-18,26,26,17,5.128076923076922,6.4230769230769225,1.0
2024-09-19,21,21,12,5.093333333333334,6.190476190476192,1.0
2024-09-20,25,25,10,4.8352,4.959999999999999,1.0
2024-09-21,26,26,5,4.686538461538462,5.153846153846154,1.0
2024-09-22,29,27,14,5.382413793103449,5.241379310344827,1.0
2024-09-23,7,7,4,5.37,5.142857142857142,1.0
2024-09-24,27,27,15,5.125555555555556,4.62962962962963,1.0
2024-09-25,22,22,7,4.877272727272728,4.636363636363637,1.0
2024-09-26,17,17,8,4.842941176470589,4.294117647058823,1.0
2024-09-27,26,26,18,4.968846153846155,5.115384615384615,1.0
2024-09-28,22,22,7,4.345454545454545,4.909090909090908,1.0
2024-09-29,24,24,10,4.702083333333333,4.541666666666666,1.0
2024-09-30,5,3,0,5.04,6.6,1.0
2025-03-27,25,25,10,5.7416,5.36,178.0
2025-03-28,17,17,10,4.814117647058823,4.882352941176471,1.0
2025-03-29,27,27,11,4.392592592592592,4.037037037037037,1.0
2025-03-30,23,23,11,4.519565217391305,4.521739130434783,1.0
2025-03-31,21,21,10,4.192857142857143,4.857142857142858,1.0
2025-04-01,20,20,11,4.724500000000001,6.1499999999999995,1.0
2025-04-02,27,27,17,5.603703703703704,6.185185185185186,1.0
2025-04-03,10,10,4,4.345,5.4,1.0
2025-04-04,26,26,16,4.821538461538462,4.4230769230769225,1.0
2025-04-05,23,23,11,4.6121739130434785,4.565217391304349,1.0
2025-04-06,21,20,11,4.481428571428571,4.714285714285714,1.0
2025-04-07,20,20,13,5.079,5.000000000000001,1.0
2025-04-08,25,25,12,5.3116,5.039999999999999,1.0
2025-04-09,28,28,18,4.708571428571428,5.142857142857142,1.0
2025-04-10,12,12,7,4.7875000000000005,5.25,1.0
2025-04-11,26,26,15,4.790384615384616,4.9230769230769225,1.0
2025-04-12,22,22,10,4.595909090909091,5.136363636363637,1.0
2025-04-13,29,29,15,5.415172413793103,5.655172413793103,1.0
2025-04-14,16,16,9,4.995625,5.437499999999999,1.0
2025-04-15,29,29,16,4.895862068965517,4.620689655172414,1.0
2025-04-16,28,28,15,4.904999999999999,5.0,1.0
2025-04-17,19,19,14,4.35263157894737,4.947368421052633,1.0
2025-04-18,24,24,10,5.11375,6.166666666666667,1.0
2025-04-19,27,27,14,5.089629629629629,4.777777777777777,1.0
2025-04-20,27,26,13,4.811481481481481,5.037037037037037,1.0
2025-04-21,15,15,9,4.848000000000001,6.333333333333334,1.0
2025-04-22,28,28,13,4.698571428571428,4.321428571428572,1.0
2025-04-23,24,24,17,4.667916666666668,5.083333333333332,1.0
2025-04-24,20,18,7,5.062500000000001,4.95,1.0
2025-04-25,25,25,11,4.826399999999999,4.960000000000002,1.0
2025-04-26,29,26,12,4.625862068965518,4.413793103448276,1.0
2025-04-27,30,28,13,4.896666666666667,4.633333333333333,1.0
2025-04-28,15,15,7,4.29,4.466666666666667,1.0
2025-04-29,24,24,12,5.309583333333334,4.416666666666666,1.0
2025-04-30,26,24,14,4.636923076923078,4.615384615384616,1.0
2025-05-01,22,22,12,4.695000000000001,4.045454545454545,1.0
2025-05-02,28,28,17,4.905,4.821428571428572,1.0
2025-05-03,26,26,14,4.628461538461538,4.923076923076925,1.0
2025-05-04,30,28,15,4.702666666666667,4.533333333333335,1.0
2025-05-05,17,17,8,4.577058823529412,4.294117647058824,1.0
2025-05-06,30,28,10,4.661666666666667,4.766666666666665,1.0
2025-05-07,29,29,15,4.724137931034481,4.862068965517242,1.0
2025-05-08,20,18,10,4.471000000000001,4.55,1.0
2025-05-09,29,29,10,4.311379310344827,5.172413793103448,1.0
2025-05-10,25,25,17,4.7904,5.48,1.0
2025-05-11,25,25,9,5.144799999999999,5.32,1.0
2025-05-12,20,20,14,4.592499999999999,4.9,1.0
2025-05-13,24,24,11,4.852499999999999,5.666666666666667,1.0
2025-05-14,32,29,8,4.821875,4.9375,1.0
2025-05-15,10,10,3,4.7780000000000005,4.6000000000000005,1.0
2025-05-16,25,25,12,5.248,5.760000000000001,1.0
2025-05-17,26,26,12,4.663461538461539,4.576923076923077,1.0
2025-05-18,29,29,17,4.837931034482759,5.275862068965518,1.0
2025-05-19,22,20,11,4.7263636363636365,4.909090909090908,1.0
2025-05-20,23,23,13,4.494782608695653,4.782608695652173,1.0
2025-05-21,23,23,13,4.733478260869565,5.478260869565217,1.0
2025-05-22,14,14,4,4.612857142857142,4.785714285714286,1.0
2025-05-23,27,25,17,5.054814814814815,5.185185185185185,1.0
2025-05-24,33,31,14,4.5606060606060606,4.757575757575757,1.0
2025-05-25,29,29,14,5.014137931034481,5.448275862068965,1.0
2025-05-26,23,23,12,4.544347826086956,4.782608695652174,1.0
2025-05-27,26,26,10,4.827307692307692,5.384615384615385,1.0
2025-05-28,27,27,10,4.719259259259259,4.185185185185185,1.0
2025-05-29,9,8,1,6.054444444444445,5.777777777777777,1.0
2025-05-30,28,28,15,4.6917857142857144,4.857142857142856,1.0
2025-05-31,26,26,14,4.914615384615384,5.192307692307692,1.0
2025-06-01,30,30,14,4.7013333333333325,5.066666666666666,1.0
2025-06-02,13,13,7,4.280769230769231,4.384615384615385,1.0
2025-06-03,25,25,11,4.9075999999999995,5.0,1.0
2025-06-04,22,22,11,4.8927272727272735,5.363636363636364,1.0
2025-06-05,26,24,10,4.846153846153844,4.8076923076923075,1.0
2025-06-06,28,26,14,4.693214285714285,4.2142857142857135,1.0
2025-06-07,28,28,16,4.758214285714287,5.2142857142857135,1.0
2025-06-08,25,25,12,4.800399999999999,5.08,1.0
2025-06-09,15,15,10,4.991999999999999,4.4,1.0
2025-06-10,27,27,17,4.5092592592592595,5.518518518518517,1.0
2025-06-11,28,28,14,4.559285714285715,5.499999999999998,1.0
2025-06-12,14,14,8,4.939285714285714,5.2857142857142865,1.0
2025-06-13,29,29,14,4.610689655172415,4.413793103448276,1.0
2025-06-14,26,26,12,4.883846153846153,5.461538461538463,1.0
2025-06-15,25,25,12,4.513999999999999,5.840000000000001,1.0
2025-06-16,13,13,6,4.803076923076924,5.846153846153846,1.0
2025-06-17,28,28,15,4.6499999999999995,4.571428571428572,1.0
2025-06-18,21,21,7,4.911428571428571,5.142857142857143,1.0
2025-06-19,31,29,9,4.991612903225807,5.35483870967742,1.0
2025-06-20,23,23,10,4.985652173913043,5.086956521739129,1.0
2025-06-21,27,27,10,4.514444444444444,4.777777777777777,1.0
2025-06-22,28,28,12,4.394642857142858,4.892857142857144,1.0
2025-06-23,15,15,7,4.449333333333333,5.199999999999999,1.0
2025-06-24,26,26,8,5.1534615384615385,4.884615384615385,1.0
2025-06-25,27,27,12,5.115925925925925,5.62962962962963,1.0
2025-06-26,15,15,9,4.378666666666667,5.0,1.0
2025-06-27,26,26,13,4.693076923076923,4.8076923076923075,1.0
2025-06-28,25,25,11,4.5852,5.5200000000000005,1.0
2025-06-29,29,29,11,4.757586206896552,4.827586206896551,1.0
2025-06-30,15,15,7,5.0633333333333335,4.933333333333334,1.0
2025-07-01,25,23,9,4.928400000000001,4.839999999999999,1.0
2025-07-02,34,29,12,5.098823529411766,4.5588235294117645,1.0
2025-07-03,19,19,9,4.376842105263157,5.2631578947368425,1.0
2025-07-04,27,27,10,4.524814814814816,4.777777777777778,1.0
2025-07-05,26,26,8,4.624230769230769,4.076923076923077,1.0
2025-07-06,21,21,9,5.703333333333333,6.476190476190475,1.0
2025-07-07,19,19,10,4.657894736842104,4.684210526315789,1.0
2025-07-08,29,29,16,4.8355172413793115,4.862068965517242,1.0
2025-07-09,27,27,12,4.494444444444444,4.62962962962963,1.0
2025-07-10,19,18,8,4.432631578947368,4.315789473684211,1.0
2025-07-11,31,29,9,4.623225806451613,4.774193548387097,1.0
2025-07-12,24,24,11,5.053333333333333,4.958333333333333,1.0
2025-07-13,30,30,10,4.673000000000001,5.066666666666666,1.0
2025-07-18,27,27,13,4.79,5.333333333333333,5.0
2025-07-19,27,27,16,4.231851851851852,4.259259259259258,1.0
2025-07-20,28,28,10,5.0375000000000005,4.7857142857142865,1.0
2025-07-21,26,26,9,4.529230769230771,4.5769230769230775,1.0
2025-07-22,28,28,9,4.409642857142857,5.0357142857142865,1.0
2025-07-23,27,27,9,4.752592592592593,5.777777777777779,1.0
2025-07-24,9,9,3,4.541111111111111,4.888888888888889,1.0
2025-07-25,27,27,15,4.657407407407408,4.518518518518518,1.0
2025-07-26,33,31,15,4.647878787878788,4.7272727272727275,1.0
2025-07-27,26,26,12,4.803461538461539,5.461538461538462,1.0
2025-07-28,24,24,11,4.824583333333334,5.333333333333333,1.0
2025-07-29,29,28,11,4.601034482758621,4.448275862068966,1.0
2025-07-30,28,28,11,4.51892857142857,4.857142857142858,1.0
2025-07-31,6,6,5,4.551666666666666,3.666666666666667,1.0
2025-08-01,28,28,14,4.664642857142859,5.2142857142857135,1.0
2025-08-02,27,27,12,4.885925925925926,5.111111111111112,1.0
2025-08-03,26,26,15,4.757307692307692,4.5769230769230775,1.0
2025-08-04,21,21,11,4.504761904761904,4.761904761904762,1.0
2025-08-05,28,28,10,4.6539285714285725,5.071428571428572,1.0
2025-08-06,26,26,13,4.734230769230769,4.923076923076923,1.0
2025-08-07,8,8,4,5.539999999999999,5.125,1.0
2025-08-08,29,29,12,4.864482758620689,4.89655172413793,1.0
2025-08-09,27,26,11,4.581851851851852,4.962962962962963,1.0
2025-08-10,29,29,17,4.707931034482759,4.758620689655172,1.0
2025-08-11,20,20,9,4.4350000000000005,4.6499999999999995,1.0
2025-08-12,27,27,13,4.91111111111111,4.518518518518519,1.0
2025-08-13,26,26,14,4.933076923076923,4.6923076923076925,1.0
2025-08-14,14,14,6,4.927142857142857,4.142857142857143,1.0
2025-08-15,23,23,11,4.82695652173913,4.9565217391304355,1.0
2025-08-16,25,25,12,4.5016,4.64,1.0
2025-08-17,26,26,12,4.122307692307692,4.846153846153846,1.0
2025-08-18,21,20,8,5.154761904761904,5.476190476190476,1.0
2025-08-19,33,31,13,4.995151515151515,5.3030303030303045,1.0
2025-08-20,24,24,11,4.587083333333334,5.416666666666666,1.0
2025-08-21,18,18,6,4.430555555555555,4.222222222222223,1.0
2025-08-22,26,26,14,4.431923076923076,4.192307692307693,1.0
2025-08-23,25,25,12,4.657199999999999,4.680000000000001,1.0
2025-08-24,26,26,15,5.024230769230769,5.461538461538462,1.0
2025-08-25,22,22,15,5.260454545454546,5.681818181818182,1.0
2025-08-26,28,28,13,4.741428571428572,5.82142857142857,1.0
2025-08-27,26,26,14,4.2299999999999995,4.461538461538461,1.0
2025-08-28,15,15,6,4.6146666666666665,4.3999999999999995,1.0
2025-08-29,27,27,9,4.7122222222222225,4.481481481481482,1.0
2025-08-30,26,26,17,4.993461538461538,5.1923076923076925,1.0
2025-08-31,28,28,15,4.74464285714286,6.000000000000001,1.0
2025-09-01,21,21,10,4.883809523809525,4.904761904761904,1.0
2025-09-02,21,21,10,4.459523809523809,4.714285714285714,1.0
2025-09-03,27,27,17,4.4259259259259265,5.296296296296298,1.0
2025-09-04,11,11,7,5.257272727272728,5.000000000000001,1.0
2025-09-05,24,24,16,4.612916666666668,4.708333333333334,1.0
2025-09-06,26,26,11,4.905,5.0,1.0
2025-09-07,23,23,11,4.614782608695653,5.043478260869565,1.0
