game_id,game_date
0022101084,2022-03-23
0022101085,2022-03-23
0022101086,2022-03-23
0022101087,2022-03-23
0022101088,2022-03-23
0022101089,2022-03-23
0022101090,2022-03-23
0022101091,2022-03-23
0022101092,2022-03-23
0022101093,2022-03-23
0022101094,2022-03-23
0022101095,2022-03-24
0022101096,2022-03-24
0022101097,2022-03-24
0022101098,2022-03-24
0022101099,2022-03-24
0022101100,2022-03-25
0022101101,2022-03-25
0022101102,2022-03-25
0022101103,2022-03-25
0022101104,2022-03-25
0022101105,2022-03-25
0022101106,2022-03-25
0022101107,2022-03-26
0022101108,2022-03-26
0022101109,2022-03-26
0022101110,2022-03-26
0022101111,2022-03-26
0022101112,2022-03-26
0022101113,2022-03-26
0022101114,2022-03-26
0022101115,2022-03-27
0022101116,2022-03-27
0022101117,2022-03-27
0022101118,2022-03-27
0022101119,2022-03-27
0022101120,2022-03-27
0022101121,2022-03-27
0022101122,2022-03-28
0022101123,2022-03-28
0022101124,2022-03-28
0022101125,2022-03-28
0022101126,2022-03-28
0022101127,2022-03-28
0022101128,2022-03-28
0022101129,2022-03-28
0022101130,2022-03-28
0022101131,2022-03-29
0022101132,2022-03-29
0022101133,2022-03-29
0022101134,2022-03-29
0022101135,2022-03-29
0022101136,2022-03-30
0022101137,2022-03-30
0022101138,2022-03-30
0022101139,2022-03-30
0022101140,2022-03-30
0022101141,2022-03-30
0022101142,2022-03-30
0022101143,2022-03-30
0022101144,2022-03-30
0022101145,2022-03-30
0022101146,2022-03-30
0022100452,2022-03-31
0022101147,2022-03-31
0022101148,2022-03-31
0022101149,2022-03-31
0022101150,2022-03-31
0022101151,2022-04-01
0022101152,2022-04-01
0022101153,2022-04-01
0022101154,2022-04-01
0022101155,2022-04-01
0022101156,2022-04-01
0022101157,2022-04-01
0022101158,2022-04-01
0022101159,2022-04-01
0022101160,2022-04-01
